english,french
To offer,Offrir
An offer,Une offre
offered ,Offert
To accept,Accepter
An acceptance,Une acceptation
To refuse,Refuser
A refusal,Un refus
O.K.,O.K.
Good.,Bon.
O.K./Sure.,Bon d’accord. 
Hum hum.,Hum hum. 
Yes.,(Ah) oui.
Yes./Sure.,Bien oui. 
Of course.,Bien sûr. 
Sure./Certainly.,Sûrement. 
Sure./Certainly.,Certainement.
Gladly.,Volontiers.
With pleasure.,Avec plaisir. 
Good idea.,Bonne idée. 
Why not?,Pourquoi pas? 
I agree.,Je veux bien.
O.K./Sure.,Ça va.
That works.,Ça marche. 
You bet!,Je comprends! 
I think so!,Je pense bien! 
Now you’re speaking!,Tu parles! 
And how!,Et comment! 
I would not mind.,Ce n’est pas de refus. 
I would not say no.,Je ne dis / dirais pas non
No.,(Ah) non.
No thanks.,(Non) merci. 
Thank you very much.,Merci (bien). 
Thanks anyway.,Merci quand même. 
Not really.,Pas vraiment. 
Not on your life!,Jamais de la vie! 
No way!,(Il n’en est) pas question! 
Absolutely not. / Definitely not.,Absolument pas. 
