english,french
law,la loi
standard,la norme
policy,la politique
regulations,le règlement
order/by-law,l’arrêté (m.)
bill,le projet de loi
bulletin/gazette,bulletin/gazette
amendment,l’amendement (m.)
amendment/modification,la modification
clause/provision,la clause
general provisions,générales
requirements,les exigences (f.)
procedure/proceedings,la procédure
regulation,la réglementation
application,l’application (f.)
interpretation,l’interprétation (f.)
legislator/lawmaker,législateur
to be entitled to,avoir droit à
to have the right to,avoir droit à
to be responsible for,avoir la responsabilité de
to establish/ determine,établir
to be required to,être tenu de / être obligé de / obliger à
to require,obliger à
to order/decree, ordonner
to indicate/state, indiquer
to stipulate/make provisions for,prévoir
to apply to,s’appliquer à
to specify,spécifier
to stipulate,stipuler
diameter,le diamètre
perimeter,le périmètre
circumference,la circonférence
thickness,l’épaisseur
side,le côté
base,la base
width,la largeur
length,la longueur
height/depth,la hauteur / la profondeur
centimeters by,centimètres sur 
millimetre,un millimètre (mm)
millilitre,un millilitre (ml)
centimetre,un centimètre (cm)
centilitre,un centilitre (cl)
metre,un mètre (m)
litre,un litre (l)
kilometre,un kilomètre (km)
dimension,la dimension
distance,la distance
size,le format
measurement,la mesure
area,la superficie
surface area,la surface
speed,la vitesse
volume,le volume
add,additionner
increase,augmenter
calculate,calculer
count,compter
decrease,diminuer
divide,diviser
multiply,multiplier
subtract,soustraire
and,et
also/too,aussi
in,dans
as well as,ainsi que
along with,de même que
more/extra/moreover/in addition to,de plus
within,à l’intérieur de
within,au sein de
inclusively,inclusivement
included,ci-inclus(e)
attached,ci-annexé(e)
enclosed,ci-joint(e)
to attach/to enclose,joindre
to include,inclure
included,inclus(e)
to comprise,comprendre
comprised in,compris(e) (dans)
including,y compris
to contain,renfermer
annex/appendix,en annexe
or,ou
except,sauf
without,sans
neither...nor,ne ... ni ... ni
apart from,à part
aside from,mis à part
except for,à l’exception de
except,excepté
to eliminate,éliminer
elimination,élimination
to withdraw,retirer
withdrawal,retrait
to exclude,exclure
excluded,exclu(e)
with the exception of,à l’exclusion de
only/only one,seul(e) / un(e) seul(e)
up to,jusqu’à
only,seulement / ne ... que
at most/no(t) more than,au plus / pas plus (de/que)
simply,simplement
at least/no(t) less/fewer than,au moins / pas moins (de/que)
restriction/to restrict,restriction / restreindre
at most/a maximum of,au maximum / un maximum de
not even,même pas / pas même
at least/a minimum of,au minimum / un minimum de
to restrict oneself to/to keep to,s’en tenir à / se limiter à
not to go beyond/not to exceed,ne pas dépasser / ne pas excéder
