english,french
elderly,âgé(e)
curly,frisé(e)
small,petit(e)
stiff,raide
bearded,barbu
tall,grand(e)
handsome/pretty,beau/belle
fat,gros(se)
freckled,rousselé(e)
blonde,blond(e)
young,jeune
red-haired,roux/rousse
brunette,brun(e)
ugly,laid(e)
slender,svelte
chestnut-haired,châtain(e)
skinny,maigre
old,vieux/vieille
bald,chauve
thin,mince
stocky,costaud(e)
obese,obèse
affirmative,affirmatif(ive)
honest,honnête
ambitious,ambitieux(euse)
impatient,impatient(e)
amusing,amusant(e)
upright,intègre
unpleasant,antipathique
jovial,jovial(e)
independent,autonome
loyal,loyal(e)
domineering,autoritaire
motivated,motivé(e)
calm,calme
nervous,nerveux(se)
understanding,compréhensif(ive)
open,ouvert(e)
conciliatory,conciliant(e)
lazy,paresseux(se)
creative,créatif(ive)
patient,patient(e)
disorganized,désordonné(e)
rigid,rigide
direct,direct(e)
serious,sérieux(se)
disciplined,discipliné(e)
helpful,serviable
available,disponible
flexible,souple
funny,drôle
stressed,stressé(e)
dynamic,dynamique
nice,sympathique
reliable,fiable
tense,tendu(e)
firm,ferme
hard-working,travailleur(se)
frank,franc(he)
tolerant,tolérant(e)
kind,gentil(le)
analytical,analytique
experienced,expérimenté(e)
bilingual,bilingue
clever,habile
capable,bon(ne)
incompetent,incompétent(e)
brilliant,brillant(e)
intelligent,intelligent(e)
competent,compétent(e)
methodical,méthodique
cultured,cultivé(e)
versatile,polyvalent(e)
effective,efficace
skilled,qualifié(e)
efficient,efficient(e)
rational,rationnel(le)
shirt,une chemise
necktie,une cravate
jacket,un veston
suit,un habit / un complet
glasses,des lunettes
shoes,des souliers
dress,une robe
belt,une ceinture
skirt,une jupe
sweater,un chandail
pants,un pantalon
umbrella,un parapluie
gloves,des gants
coat,un manteau
hat,un chapeau
scarf,un foulard
socks,des bas
raincoat,un imperméable
toque,une tuque
boots,des bottes
