english,french
to ask / ask for / request wanted,demander
a request,une demande
to apply for / to make a request,faire une demande
at someone’s request,à la demande de
on request,sur demande
to tell someone to,dire à ... de
a request,une requête
an applicant,un(e) requérant(e)
an order,une commande
to order,commander
to solicit/to ask for,solliciter
a request,une sollicitation
to beg to,prier de
to be asked to,être prié(e) de
please,prière de (écrit)
a claim/a demand,une revendication
to claim/to demand,revendiquer
to beg for,quêter
a beggar,un(e) quêteux(se)
a claim/a demand,une réclamation
to claim/to demand,réclamer
to apply,postuler
the obtaining,l’obtention
to obtain,obtenir
the reception,la réception
to receive,recevoir
to get,avoir
to get/to obtain,se procurer
to (go and) get,aller chercher
an acquisition,une acquisition
to acquire,acquérir
to get/to land (something),décrocher 
to win,gagner
to pocket,empocher
to receive (a salary),toucher
to withdraw,retirer
