english,french
acceptable, acceptable 
high, élevé(e)
adequate , adéquate 
unacceptable, inacceptable
appropriate , approprié(e) 
accurate, juste
low , basse
normal, normal(e)
conform , conforme
ordinary, ordinaire 
accurate, correct(e) 
perfect, parfait(e) 
outdated , dépassé(e)
presentable, présentable
peculiar , drôle de 
reasonable, raisonnable
efficient , efficace 
satisfactory, satisfaisant(e)
efficient, efficient
to pass ,aller
to suit ,convenir
to correspond to ,correspondre 
to suit ,faire l’affaire 
to meet,répondre à 
to respect,respecter 
to satisfy ,satisfaire à 
to comply with ,se conformer 
to be worth ,valoir
to be worth,valoir la peine
equal,égal(e)
other,autre other
identical,identique - pareil(le)
different,différent(e)
same ,même 
the difference,la différence
to differentiate,différencier 
inferior,inférieur(e) 
superior,supérieur(e) 
comparable ,comparable
alike,semblable
the comparison ,la comparaison 
the alikeness,la ressemblance
to compare ,comparer
to be alike,ressembler 
similar,similaire 
the similarity,la similitude
like,comme
in comparison with,en comparaison avec
in relation to,par rapport à
more ... than (from), plus de ... que (de) 
less ... than (from), moins de ... que (de)
as many ... as (from), autant de ... que (de)
good, bon(ne)
bad, mauvais(e)
better, meilleur(e)
worse, pire
the best, le meilleur
the worst, le pire
the best, le mieux
the worst, le plus mal
