english,french
souhaiter, to hope - to wish to 
désirer , to wish - would like 
pourvu que , let's hope - so long as 
avoir l’intention de, to intend - to plan - to mean 
compter (+ infinitif), to intend - to expect 
penser (+ infinitif), to intend
aimer (au conditionnel), would like 
vouloir , to want - to wish - to desire
s’attendre à, to expect - to look forward to
tenir à , to be attached to - to care about
exiger, to demand - to insist
to prefer, aimer mieux
to prefer, préférer
to like, aimer (bien)
not to be keen on, aimer moins
